BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
F0:B0:52:3E:D8:98;32.10478;35.20699;Ariel_University;Open;-67;Infra;11;-65;2017/10/26;12:21:27
F0:B0:52:3E:D8:9C;32.10451;35.20685;Ariel_University;Open;-75;Infra;36;-74;2017/10/26;12:21:52
F0:B0:52:3E:D8:E8;32.10521;35.20695;Ariel_University;Open;-77;Infra;6;-75;2017/10/26;12:13:39
F0:B0:52:3E:D9:B8;32.10548;35.20635;Ariel_University;Open;-65;Infra;11;-63;2017/10/26;12:12:27
F0:B0:52:3E:D9:BC;32.10546;35.20680;Ariel_University;Open;-90;Infra;40;-89;2017/10/26;12:12:56
F0:B0:52:3E:DA:18;32.10490;35.20709;Ariel_University;Open;-76;Infra;11;-74;2017/10/26;12:21:15
F0:B0:52:3E:DA:1C;32.10515;35.20697;Ariel_University;Open;-96;Infra;52;-95;2017/10/26;12:20:51
F0:B0:52:BE:C7:B7;32.10510;35.20686;;WPA2;-87;Infra;36;-83;2017/10/26;12:16:39
F0:B0:52:BE:C8:17;32.10549;35.20687;;WPA2;-80;Infra;52;-79;2017/10/26;12:13:03
F0:B0:52:BE:C8:D7;32.10510;35.20686;;WPA2;-75;Infra;48;-73;2017/10/26;12:14:51
F0:B0:52:BE:CA:37;32.10548;35.20635;;WPA2;-85;Infra;36;-83;2017/10/26;12:12:27
F0:B0:52:BE:CA:D7;32.10510;35.20686;;WPA2;-85;Infra;36;-83;2017/10/26;12:14:15
F0:B0:52:BE:CC:17;32.10509;35.20686;;WPA2;-99;Infra;36;-95;2017/10/26;12:19:15
F0:B0:52:BE:D0:37;32.10505;35.20707;;WPA2;-87;Infra;44;-86;2017/10/26;12:21:03
F0:B0:52:BE:D1:37;32.10515;35.20697;;WPA2;-86;Infra;64;-85;2017/10/26;12:20:51
F0:B0:52:BE:D6:F7;32.10509;35.20685;;WPA2;-86;Infra;40;-82;2017/10/26;12:19:03
F0:B0:52:BE:D8:97;32.10451;35.20685;;WPA2;-75;Infra;36;-74;2017/10/26;12:21:52
F0:B0:52:BE:DA:17;32.10509;35.20685;;WPA2;-99;Infra;52;-95;2017/10/26;12:19:03
F0:B4:29:FA:90:5A;32.10557;35.20587;mi;WpaPsk;-71;Infra;1;-70;2017/10/26;12:11:40
F8:D1:11:77:77:FC;32.10368;35.20683;TP-LINK_7777FC;Open;-60;Infra;1;-56;2017/10/26;12:27:44
